# Redshift evolution of the volume-averaged He III fraction
# considering AGN with M_{1450} < -18 and M_{1450} < -18 from the
# model presented in Kulkarni, Worseck, and Hennawi 2018
# (arXiv:1807.09774 [astro-ph.GA]), Figure 11.
#
# Column 1: z
# Column 2: Q_HeIII with M_{1450} < -18 AGN
# Column 3: Lower bound on column 2 (68.26% equal-tailed credible interval)
# Column 4: Upper bound on column 2 (68.26% equal-tailed credible interval)
# Column 5: Q_HeIII with M_{1450} < -21 AGN 
# Column 6: Lower bound on column 5 (68.26% equal-tailed credible interval)
# Column 7: Upper bound on column 5 (68.26% equal-tailed credible interval)
z         Q_HeIII_18  Q_HeIII_18_l  Q_HeIII_18_u  Q_HeIII_21    Q_HeIII_21_l  Q_HeIII_21_u
10.150  6.109652e-06  3.611126e-07  8.963953e-05  2.241820e-06  3.867543e-07  9.375629e-06
10.138  6.265022e-06  3.721394e-07  9.129676e-05  2.296401e-06  3.977553e-07  9.576063e-06
10.126  6.424216e-06  3.835178e-07  9.298262e-05  2.352508e-06  4.091058e-07  9.780925e-06
10.114  6.587413e-06  3.952481e-07  9.469750e-05  2.410142e-06  4.208058e-07  9.990309e-06
10.102  6.754697e-06  4.073301e-07  9.644180e-05  2.469301e-06  4.328552e-07  1.020431e-05
10.090  6.926150e-06  4.197638e-07  9.821590e-05  2.529986e-06  4.452542e-07  1.042302e-05
10.078  7.101854e-06  4.325494e-07  1.000202e-04  2.592197e-06  4.580026e-07  1.064654e-05
10.066  7.281892e-06  4.456867e-07  1.018551e-04  2.655935e-06  4.711005e-07  1.087496e-05
10.054  7.466346e-06  4.591758e-07  1.037210e-04  2.721198e-06  4.845480e-07  1.110837e-05
10.042  7.655297e-06  4.730166e-07  1.056182e-04  2.787987e-06  4.983448e-07  1.134688e-05
10.030  7.848828e-06  4.872092e-07  1.075473e-04  2.856302e-06  5.124912e-07  1.159057e-05
10.018  8.047022e-06  5.017536e-07  1.095085e-04  2.926144e-06  5.269871e-07  1.183954e-05
10.006  8.249960e-06  5.166497e-07  1.115024e-04  2.997511e-06  5.418324e-07  1.209388e-05
 9.994  8.457725e-06  5.318976e-07  1.135300e-04  3.070404e-06  5.570273e-07  1.235369e-05
 9.982  8.670399e-06  5.474973e-07  1.155920e-04  3.144824e-06  5.725716e-07  1.261906e-05
 9.970  8.888063e-06  5.634487e-07  1.176889e-04  3.220769e-06  5.884654e-07  1.289010e-05
 9.958  9.110801e-06  5.797519e-07  1.198213e-04  3.298241e-06  6.047087e-07  1.316688e-05
 9.946  9.338694e-06  5.965577e-07  1.219897e-04  3.377351e-06  6.213015e-07  1.344951e-05
 9.934  9.571825e-06  6.140563e-07  1.241946e-04  3.458678e-06  6.383292e-07  1.373809e-05
 9.922  9.810276e-06  6.322483e-07  1.264367e-04  3.542304e-06  6.559789e-07  1.403270e-05
 9.910  1.005413e-05  6.511337e-07  1.287163e-04  3.628229e-06  6.742570e-07  1.433344e-05
