#,NAME,dm,P0,RAJD,DECJD
,(cm^-3,pc),(s),(deg),(deg),
250,J0633-2015,bjd+06,90.7,2,bjd+06,3.2532108384,5,bjd+06,98.28692,-20.25197,
251,J0635+0533,cmn+00,*,0,*,0.033856495,12,cmn+00,98.82500,5.55306,
252,J0636-3044,mbc+19,16,0,mbc+19,0.00394576,0,mbc+19,99.28750,-30.84500,
253,J0636-4549,bjd+06,26.31,15,bjd+06,1.98459736713,4,bjd+06,99.14060,-45.82573,
254,J0636+5129,slr+14,11.10816,11,abb+18,0.00286895284653414,3,abb+18,99.02020,51.48332,
255,J0641+07,ttm+18,52,4,ttm+18,*,0,*,100.29167,7.73333,
256,J0645+5158,slr+14,18.247536,9,slr+14,0.008853496686297741,15,abb+18,101.49618,51.97081,
257,J0645+80,slr+14,50,3,slr+14,0.657873,24,slr+14,101.50000,80.15000,
258,J0646+0905,bkl+13,149.0,7,bkl+13,0.9039132,7,bkl+13,101.62915,9.09703,
259,J0647+0913,bkl+13,154.7,12,bkl+13,1.23485362778,3,bkl+13,101.81533,9.23319,
260,J0652-0142,bkl+13,116.3,11,bkl+13,0.924053918109,14,bkl+13,103.04627,-1.70842,
261,J0653+4706,bph+17a,25.54,0,bph+17a,0.00475,0,bph+17a,103.25000,47.10000,
262,B0643+80,dbtb82,33.31882,71,bkk+16,1.2144405115160,20,hlk+04,103.31287,80.86673,
263,J0656-2228,bjd+06,32.39,17,bjd+06,1.22475441462,3,bjd+06,104.12586,-22.47376,
264,J0656-5449,jbo+09,67.5,10,jbo+09,0.183156898795,2,jbo+09,104.20413,-54.82081,
265,J0658+0022,bkl+13,122.0,7,bkl+13,0.563294925255,3,bkl+13,104.56337,0.37647,
266,B0656+14,mlt+78,13.94,9,pkj+13,0.3849286234,3,jbv+19,104.95056,14.23931,
267,B0655+64,dth78,8.77387,27,bkk+16,0.19567094516627,16,hlk+04,105.15751,64.30311,
268,J0702-4956,bcm+15,98.7,1,bcm+15,0.6659935900,5,bcm+15,105.66375,-49.94283,
269,J0709-5923,jbo+09,65,2,jbo+09,0.485268383925,5,jbo+09,107.38555,-59.39878,
